MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,449519875396XXXL,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875599XS,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599S,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,4495198755994XL,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599M,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599L,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599XL,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599XXL,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449519875599XXXL,COL,Parka hiver haute-visibilité Rouge fluo/Noir,FABDIS,Rouge fluo/Noir,COLORM,,,1,1
BLAKLADER,449619183389XS,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183389S,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,4496191833894XL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183389M,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183389L,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183389XL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183389XXXL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,449619183399XS,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,449619183399S,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,4496191833994XL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,449619183399L,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,449619183399XL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,449619183399XXL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
